x,y,p,vx,vy,rho
0.925,5,1,0,0,1
0.935,5,1,0,0,1
0.945,5,1,0,0,1
0.955,5,1,0,0,1
0.965,5,1,0,0,1
0.975,5,1,0,0,1
0.985,5,1,0,0,1
0.995,5,1,0,0,1
1.005,5,1,0,0,1
1.015,5,1,0,0,1
1.025,5,1,0,0,1
1.035,5,1,0,0,1
1.045,5,1,0,0,1
1.055,5,1,0,0,1
1.065,5,1,0,0,1
1.075,5,1,0,0,1
1.085,5,1,0,0,1
1.095,5,1,0,0,1
1.105,5,1,0,0,1
1.115,5,1,0,0,1
1.125,5,1,0,0,1
1.135,5,1,0,0,1
1.145,5,1,0,0,1
1.155,5,1,0,0,1
1.165,5,1,0,0,1
1.175,5,1,0,0,1
1.185,5,1,0,0,1
1.195,5,1,0,0,1
1.205,5,1,0,0,1
1.215,5,1,0,0,1
1.225,5,1,0,0,1
1.235,5,1,0,0,1
1.245,5,1,0,0,1
1.255,5,1,0,0,1
1.265,5,1,0,0,1
1.275,5,1,0,0,1
1.285,5,1,0,0,1
1.295,5,1,0,0,1
1.305,5,1,0,0,1
1.315,5,1,0,0,1
1.325,5,1,0,0,1
1.335,5,1,0,0,1
1.345,5,1,0,0,1
1.355,5,1,0,0,1
1.365,5,1,0,0,1
1.375,5,1,0,0,1
1.385,5,1,0,0,1
1.395,5,1,0,0,1
1.405,5,1,0,0,1
1.415,5,1,0,0,1
1.425,5,1,0,0,1
1.435,5,1,0,0,1
1.445,5,1,0,0,1
1.455,5,1,0,0,1
1.465,5,1,0,0,1
1.475,5,1,0,0,1
1.485,5,1,0,0,1
1.495,5,1,0,0,1
1.505,5,1,0,0,1
1.515,5,1,0,0,1
1.525,5,1,0,0,1
1.535,5,1,0,0,1
1.545,5,1,0,0,1
1.555,5,1,0,0,1
1.565,5,1,0,0,1
1.575,5,1,0,0,1
1.585,5,1,0,0,1
1.595,5,1,0,0,1
1.605,5,1,0,0,1
1.615,5,1,0,0,1
1.625,5,1,0,0,1
1.635,5,1,0,0,1
1.645,5,1,0,0,1
1.655,5,1,0,0,1
1.665,5,1,0,0,1
1.675,5,1,0,0,1
1.685,5,1,0,0,1
1.695,5,1,0,0,1
1.705,5,1,0,0,1
1.715,5,1,0,0,1
1.725,5,1,0,0,1
1.735,5,1,0,0,1
1.745,5,1,0,0,1
1.755,5,1,0,0,1
1.765,5,1,0,0,1
1.775,5,1,0,0,1
1.785,5,1,0,0,1
1.795,5,1,0,0,1
1.805,5,1,0,0,1
1.815,5,1,0,0,1
1.825,5,1,0,0,1
1.835,5,1,0,0,1
1.845,5,1,0,0,1
1.855,5,1,0,0,1
1.865,5,1,0,0,1
1.875,5,1,0,0,1
1.885,5,1,0,0,1
1.895,5,1,0,0,1
1.905,5,1,0,0,1
1.915,5,1,0,0,1
1.925,5,1,0,0,1
1.935,5,1,0,0,1
1.945,5,1,0,0,1
1.955,5,1,0,0,1
1.965,5,1,0,0,1
1.975,5,1,0,0,1
1.985,5,1,0,0,1
1.995,5,1,0,0,1
2.005,5,1,0,0,1
2.015,5,1,0,0,1
2.025,5,1,0,0,1
2.035,5,1,0,0,1
2.045,5,1,0,0,1
2.055,5,1,0,0,1
2.065,5,1,0,0,1
2.075,5,1,0,0,1
2.085,5,1,0,0,1
2.095,5,1,0,0,1
2.105,5,1,0,0,1
2.115,5,1,0,0,1
2.125,5,1,0,0,1
2.135,5,1,0,0,1
2.145,5,1,0,0,1
2.155,5,1,0,0,1
2.165,5,1,0,0,1
2.175,5,1,0,0,1
2.185,5,1,0,0,1
2.195,5,1,0,0,1
2.205,5,1,0,0,1
2.215,5,1,0,0,1
2.225,5,1,0,0,1
2.235,5,1,0,0,1
2.245,5,1,0,0,1
2.255,5,1,0,0,1
2.265,5,1,0,0,1
2.275,5,1,0,0,1
2.285,5,1,0,0,1
2.295,5,1,0,0,1
2.305,5,1,0,0,1
2.315,5,1,0,0,1
2.325,5,1,0,0,1
2.335,5,1,0,0,1
2.345,5,1,0,0,1
2.355,5,1,0,0,1
2.365,5,1,0,0,1
2.375,5,1,0,0,1
2.385,5,1,0,0,1
2.395,5,1,0,0,1
2.405,5,1,0,0,1
2.415,5,1,0,0,1
2.425,5,1,0,0,1
2.435,5,1,0,0,1
2.445,5,1,0,0,1
2.455,5,1,0,0,1
2.465,5,1,0,0,1
2.475,5,1,0,0,1
2.485,5,1,0,0,1
2.495,5,1,0,0,1
2.505,5,1,0,0,1
2.515,5,1,0,0,1
2.525,5,1,0,0,1
2.535,5,1,0,0,1
2.545,5,1,0,0,1
2.555,5,1,0,0,1
2.565,5,1,0,0,1
2.575,5,1,0,0,1
2.585,5,1,0,0,1
2.595,5,1,0,0,1
2.605,5,1,0,0,1
2.615,5,1,0,0,1
2.625,5,1,0,0,1
2.635,5,1,0,0,1
2.645,5,1,0,0,1
2.655,5,1,0,0,1
2.665,5,1,0,0,1
2.675,5,1,0,0,1
2.685,5,1,0,0,1
2.695,5,1,0,0,1
2.705,5,1,0,0,1
2.715,5,1,0,0,1
2.725,5,1,0,0,1
2.735,5,1,0,0,1
2.745,5,1,0,0,1
2.755,5,1,0,0,1
2.765,5,1,0,0,1
2.775,5,1,0,0,1
2.785,5,1,0,0,1
2.795,5,1,0,0,1
2.805,5,1,0,0,1
2.815,5,1,0,0,1
2.825,5,1,0,0,1
2.835,5,1,0,0,1
2.845,5,1,0,0,1
2.855,5,1,0,0,1
2.865,5,1,0,0,1
2.875,5,1,0,0,1
2.885,5,1,0,0,1
2.895,5,1,0,0,1
2.905,5,1,0,0,1
2.915,5,1,0,0,1
2.925,5,1,0,0,1
2.935,5,1,0,0,1
2.945,5,1,0,0,1
2.955,5,1,0,0,1
2.965,5,1,0,0,1
2.975,5,1,0,0,1
2.985,5,1,0,0,1
2.995,5,1,0,0,1
3.005,5,1,0,0,1
3.015,5,1,0,0,1
3.025,5,1,0,0,1
3.035,5,1,0,0,1
3.045,5,1,0,0,1
3.055,5,1,0,0,1
3.065,5,1,0,0,1
3.075,5,1,0,0,1
3.085,5,1,0,0,1
3.095,5,1,0,0,1
3.105,5,1,0,0,1
3.115,5,1,0,0,1
3.125,5,1,0,0,1
3.135,5,1,0,0,1
3.145,5,1,0,0,1
3.155,5,1,0,0,1
3.165,5,1,0,0,1
3.175,5,1,0,0,1
3.185,5,1,0,0,1
3.195,5,1,0,0,1
3.205,5,1,0,0,1
3.215,5,1,0,0,1
3.225,5,1,0,0,1
3.235,5,1,0,0,1
3.245,5,1,0,0,1
3.255,5,1,0,0,1
3.265,5,1,0,0,1
3.275,5,1,0,0,1
3.285,5,1,0,0,1
3.295,5,1,0,0,1
3.305,5,1,0,0,1
3.315,5,1,0,0,1
3.325,5,1,0,0,1
3.335,5,1,0,0,1
3.345,5,1,0,0,1
3.355,5,1,0,0,1
3.365,5,1,0,0,1
3.375,5,1,0,0,1
3.385,5,1,0,0,1
3.395,5,1,0,0,1
3.405,5,1,0,0,1
3.415,5,1,0,0,1
3.425,5,1,0,0,1
3.435,5,1,0,0,1
3.445,5,1,0,0,1
3.455,5,1,0,0,1
3.465,5,1,0,0,1
3.475,5,1,0,0,1
3.485,5,1,0,0,1
3.495,5,1,0,0,1
3.505,5,1,0,0,1
3.515,5,1,0,0,1
3.525,5,1,0,0,1
3.535,5,1,0,0,1
3.545,5,1,0,0,1
3.555,5,1,0,0,1
3.565,5,1,0,0,1
3.575,5,1,0,0,1
3.585,5,1,0,0,1
3.595,5,1,0,0,1
3.605,5,1,0,0,1
3.615,5,1,0,0,1
3.625,5,1,0,0,1
3.635,5,1,0,0,1
3.645,5,1,0,0,1
3.655,5,1,0,0,1
3.665,5,1,0,0,1
3.675,5,1,0,0,1
3.685,5,1,0,0,1
3.695,5,1,0,0,1
3.705,5,1,0,0,1
3.715,5,1,0,0,1
3.725,5,1,0,0,1
3.735,5,1,0,0,1
3.745,5,1,0,0,1
3.755,5,1,0,0,1
3.765,5,1,0,0,1
3.775,5,1,0,0,1
3.785,5,1,0,0,1
3.795,5,1,0,0,1
3.805,5,1,0,0,1
3.815,5,1,0,0,1
3.825,5,1,0,0,1
3.835,5,1,0,0,1
3.845,5,1,0,0,1
3.855,5,1,0,0,1
3.865,5,1,0,0,1
3.875,5,1,0,0,1
3.885,5,1,0,0,1
3.895,5,1,0,0,1
3.905,5,1,0,0,1
3.915,5,1,0,0,1
3.925,5,1,0,0,1
3.935,5,1,0,0,1
3.945,5,1,0,0,1
3.955,5,1,0,0,1
3.965,5,1,0,0,1
3.975,5,1,0,0,1
3.985,5,1,0,0,1
3.995,5,1,0,0,1
4.005,5,1,0,0,1
4.015,5,1,0,0,1
4.025,5,1,0,0,1
4.035,5,1,0,0,1
4.045,5,1,0,0,1
4.055,5,1,0,0,1
4.065,5,1,0,0,1
4.075,5,1,0,0,1
4.085,5,1,0,0,1
4.095,5,1,0,0,1
4.105,5,1,0,0,1
4.115,5,1,0,0,1
4.125,5,1,0,0,1
4.135,5,1,0,0,1
4.145,5,1,0,0,1
4.155,5,1,0,0,1
4.165,5,1,0,0,1
4.175,5,1,0,0,1
4.185,5,1,0,0,1
4.195,5,1,0,0,1
4.205,5,1,0,0,1
4.215,5,1,0,0,1
4.225,5,1,0,0,1
4.235,5,1,0,0,1
4.245,5,1,0,0,1
4.255,5,1,0,0,1
4.265,5,1,0,0,1
4.275,5,1,0,0,1
4.285,5,1,0,0,1
4.295,5,1,0,0,1
4.305,5,1,0,0,1
4.315,5,1,0,0,1
4.325,5,1,0,0,1
4.335,5,1,0,0,1
4.345,5,1,0,0,1
4.355,5,1,0,0,1
4.365,5,1,0,0,1
4.375,5,1,0,0,1
4.385,5,1,0,0,1
4.395,5,1,0,0,1
4.405,5,1,0,0,1
4.415,5,1,0,0,1
4.425,5,1,0,0,1
4.435,5,1,0,0,1
4.445,5,1,0,0,1
4.455,5,1,0,0,1
4.465,5,1,0,0,1
4.475,5,1,0,0,1
4.485,5,1,0,0,1
4.495,5,1,0,0,1
4.505,5,1,0,0,1
4.515,5,1,0,0,1
4.525,5,1,0,0,1
4.535,5,1,0,0,1
4.545,5,1,0,0,1
4.555,5,1,0,0,1
4.565,5,1,0,0,1
4.575,5,1,0,0,1
4.585,5,1,0,0,1
4.595,5,1,0,0,1
4.605,5,1,0,0,1
4.615,5,1,0,0,1
4.625,5,1,0,0,1
4.635,5,1,0,0,1
4.645,5,1,0,0,1
4.655,5,1,0,0,1
4.665,5,1,0,0,1
4.675,5,1,0,0,1
4.685,5,1,0,0,1
4.695,5,1,0,0,1
4.705,5,1,0,0,1
4.715,5,1,0,0,1
4.725,5,1,0,0,1
4.735,5,1,0,0,1
4.745,5,1,0,0,1
4.755,5,1,0,0,1
4.765,5,1,0,0,1
4.775,5,1,0,0,1
4.785,5,1,0,0,1
4.795,5,1,0,0,1
4.805,5,1,0,0,1
4.815,5,1,0,0,1
4.825,5,1,0,0,1
4.835,5,1,0,0,1
4.845,5,1,0,0,1
4.855,5,1,0,0,1
4.865,5,1,0,0,1
4.875,5,1,0,0,1
4.885,5,1,0,0,1
4.895,5,1,0,0,1
4.905,5,1,0,0,1
4.915,5,1,0,0,1
4.925,5,1,0,0,1
4.935,5,1,0,0,1
4.945,5,1,0,0,1
4.955,5,1,0,0,1
4.965,5,1,0,0,1
4.975,5,1,0,0,1
4.985,5,1,0,0,1
4.995,5,1,0,0,1
5.005,5,0.1,0,0,0.125
5.015,5,0.1,0,0,0.125
5.025,5,0.1,0,0,0.125
5.035,5,0.1,0,0,0.125
5.045,5,0.1,0,0,0.125
5.055,5,0.1,0,0,0.125
5.065,5,0.1,0,0,0.125
5.075,5,0.1,0,0,0.125
5.085,5,0.1,0,0,0.125
5.095,5,0.1,0,0,0.125
5.105,5,0.1,0,0,0.125
5.115,5,0.1,0,0,0.125
5.125,5,0.1,0,0,0.125
5.135,5,0.1,0,0,0.125
5.145,5,0.1,0,0,0.125
5.155,5,0.1,0,0,0.125
5.165,5,0.1,0,0,0.125
5.175,5,0.1,0,0,0.125
5.185,5,0.1,0,0,0.125
5.195,5,0.1,0,0,0.125
5.205,5,0.1,0,0,0.125
5.215,5,0.1,0,0,0.125
5.225,5,0.1,0,0,0.125
5.235,5,0.1,0,0,0.125
5.245,5,0.1,0,0,0.125
5.255,5,0.1,0,0,0.125
5.265,5,0.1,0,0,0.125
5.275,5,0.1,0,0,0.125
5.285,5,0.1,0,0,0.125
5.295,5,0.1,0,0,0.125
5.305,5,0.1,0,0,0.125
5.315,5,0.1,0,0,0.125
5.325,5,0.1,0,0,0.125
5.335,5,0.1,0,0,0.125
5.345,5,0.1,0,0,0.125
5.355,5,0.1,0,0,0.125
5.365,5,0.1,0,0,0.125
5.375,5,0.1,0,0,0.125
5.385,5,0.1,0,0,0.125
5.395,5,0.1,0,0,0.125
5.405,5,0.1,0,0,0.125
5.415,5,0.1,0,0,0.125
5.425,5,0.1,0,0,0.125
5.435,5,0.1,0,0,0.125
5.445,5,0.1,0,0,0.125
5.455,5,0.1,0,0,0.125
5.465,5,0.1,0,0,0.125
5.475,5,0.1,0,0,0.125
5.485,5,0.1,0,0,0.125
5.495,5,0.1,0,0,0.125
5.505,5,0.1,0,0,0.125
5.515,5,0.1,0,0,0.125
5.525,5,0.1,0,0,0.125
5.535,5,0.1,0,0,0.125
5.545,5,0.1,0,0,0.125
5.555,5,0.1,0,0,0.125
5.565,5,0.1,0,0,0.125
5.575,5,0.1,0,0,0.125
5.585,5,0.1,0,0,0.125
5.595,5,0.1,0,0,0.125
5.605,5,0.1,0,0,0.125
5.615,5,0.1,0,0,0.125
5.625,5,0.1,0,0,0.125
5.635,5,0.1,0,0,0.125
5.645,5,0.1,0,0,0.125
5.655,5,0.1,0,0,0.125
5.665,5,0.1,0,0,0.125
5.675,5,0.1,0,0,0.125
5.685,5,0.1,0,0,0.125
5.695,5,0.1,0,0,0.125
5.705,5,0.1,0,0,0.125
5.715,5,0.1,0,0,0.125
5.725,5,0.1,0,0,0.125
5.735,5,0.1,0,0,0.125
5.745,5,0.1,0,0,0.125
5.755,5,0.1,0,0,0.125
5.765,5,0.1,0,0,0.125
5.775,5,0.1,0,0,0.125
5.785,5,0.1,0,0,0.125
5.795,5,0.1,0,0,0.125
5.805,5,0.1,0,0,0.125
5.815,5,0.1,0,0,0.125
5.825,5,0.1,0,0,0.125
5.835,5,0.1,0,0,0.125
5.845,5,0.1,0,0,0.125
5.855,5,0.1,0,0,0.125
5.865,5,0.1,0,0,0.125
5.875,5,0.1,0,0,0.125
5.885,5,0.1,0,0,0.125
5.895,5,0.1,0,0,0.125
5.905,5,0.1,0,0,0.125
5.915,5,0.1,0,0,0.125
5.925,5,0.1,0,0,0.125
5.935,5,0.1,0,0,0.125
5.945,5,0.1,0,0,0.125
5.955,5,0.1,0,0,0.125
5.965,5,0.1,0,0,0.125
5.975,5,0.1,0,0,0.125
5.985,5,0.1,0,0,0.125
5.995,5,0.1,0,0,0.125
6.005,5,0.1,0,0,0.125
6.015,5,0.1,0,0,0.125
6.025,5,0.1,0,0,0.125
6.035,5,0.1,0,0,0.125
6.045,5,0.1,0,0,0.125
6.055,5,0.1,0,0,0.125
6.065,5,0.1,0,0,0.125
6.075,5,0.1,0,0,0.125
6.085,5,0.1,0,0,0.125
6.095,5,0.1,0,0,0.125
6.105,5,0.1,0,0,0.125
6.115,5,0.1,0,0,0.125
6.125,5,0.1,0,0,0.125
6.135,5,0.1,0,0,0.125
6.145,5,0.1,0,0,0.125
6.155,5,0.1,0,0,0.125
6.165,5,0.1,0,0,0.125
6.175,5,0.1,0,0,0.125
6.185,5,0.1,0,0,0.125
6.195,5,0.1,0,0,0.125
6.205,5,0.1,0,0,0.125
6.215,5,0.1,0,0,0.125
6.225,5,0.1,0,0,0.125
6.235,5,0.1,0,0,0.125
6.245,5,0.1,0,0,0.125
6.255,5,0.1,0,0,0.125
6.265,5,0.1,0,0,0.125
6.275,5,0.1,0,0,0.125
6.285,5,0.1,0,0,0.125
6.295,5,0.1,0,0,0.125
6.305,5,0.1,0,0,0.125
6.315,5,0.1,0,0,0.125
6.325,5,0.1,0,0,0.125
6.335,5,0.1,0,0,0.125
6.345,5,0.1,0,0,0.125
6.355,5,0.1,0,0,0.125
6.365,5,0.1,0,0,0.125
6.375,5,0.1,0,0,0.125
6.385,5,0.1,0,0,0.125
6.395,5,0.1,0,0,0.125
6.405,5,0.1,0,0,0.125
6.415,5,0.1,0,0,0.125
6.425,5,0.1,0,0,0.125
6.435,5,0.1,0,0,0.125
6.445,5,0.1,0,0,0.125
6.455,5,0.1,0,0,0.125
6.465,5,0.1,0,0,0.125
6.475,5,0.1,0,0,0.125
6.485,5,0.1,0,0,0.125
6.495,5,0.1,0,0,0.125
6.505,5,0.1,0,0,0.125
6.515,5,0.1,0,0,0.125
6.525,5,0.1,0,0,0.125
6.535,5,0.1,0,0,0.125
6.545,5,0.1,0,0,0.125
6.555,5,0.1,0,0,0.125
6.565,5,0.1,0,0,0.125
6.575,5,0.1,0,0,0.125
6.585,5,0.1,0,0,0.125
6.595,5,0.1,0,0,0.125
6.605,5,0.1,0,0,0.125
6.615,5,0.1,0,0,0.125
6.625,5,0.1,0,0,0.125
6.635,5,0.1,0,0,0.125
6.645,5,0.1,0,0,0.125
6.655,5,0.1,0,0,0.125
6.665,5,0.1,0,0,0.125
6.675,5,0.1,0,0,0.125
6.685,5,0.1,0,0,0.125
6.695,5,0.1,0,0,0.125
6.705,5,0.1,0,0,0.125
6.715,5,0.1,0,0,0.125
6.725,5,0.1,0,0,0.125
6.735,5,0.1,0,0,0.125
6.745,5,0.1,0,0,0.125
6.755,5,0.1,0,0,0.125
6.765,5,0.1,0,0,0.125
6.775,5,0.1,0,0,0.125
6.785,5,0.1,0,0,0.125
6.795,5,0.1,0,0,0.125
6.805,5,0.1,0,0,0.125
6.815,5,0.1,0,0,0.125
6.825,5,0.1,0,0,0.125
6.835,5,0.1,0,0,0.125
6.845,5,0.1,0,0,0.125
6.855,5,0.1,0,0,0.125
6.865,5,0.1,0,0,0.125
6.875,5,0.1,0,0,0.125
6.885,5,0.1,0,0,0.125
6.895,5,0.1,0,0,0.125
6.905,5,0.1,0,0,0.125
6.915,5,0.1,0,0,0.125
6.925,5,0.1,0,0,0.125
6.935,5,0.1,0,0,0.125
6.945,5,0.1,0,0,0.125
6.955,5,0.1,0,0,0.125
6.965,5,0.1,0,0,0.125
6.975,5,0.1,0,0,0.125
6.985,5,0.1,0,0,0.125
6.995,5,0.1,0,0,0.125
7.005,5,0.1,0,0,0.125
7.015,5,0.1,0,0,0.125
7.025,5,0.1,0,0,0.125
7.035,5,0.1,0,0,0.125
7.045,5,0.1,0,0,0.125
7.055,5,0.1,0,0,0.125
7.065,5,0.1,0,0,0.125
7.075,5,0.1,0,0,0.125
7.085,5,0.1,0,0,0.125
7.095,5,0.1,0,0,0.125
7.105,5,0.1,0,0,0.125
7.115,5,0.1,0,0,0.125
7.125,5,0.1,0,0,0.125
7.135,5,0.1,0,0,0.125
7.145,5,0.1,0,0,0.125
7.155,5,0.1,0,0,0.125
7.165,5,0.1,0,0,0.125
7.175,5,0.1,0,0,0.125
7.185,5,0.1,0,0,0.125
7.195,5,0.1,0,0,0.125
7.205,5,0.1,0,0,0.125
7.215,5,0.1,0,0,0.125
7.225,5,0.1,0,0,0.125
7.235,5,0.1,0,0,0.125
7.245,5,0.1,0,0,0.125
7.255,5,0.1,0,0,0.125
7.265,5,0.1,0,0,0.125
7.275,5,0.1,0,0,0.125
7.285,5,0.1,0,0,0.125
7.295,5,0.1,0,0,0.125
7.305,5,0.1,0,0,0.125
7.315,5,0.1,0,0,0.125
7.325,5,0.1,0,0,0.125
7.335,5,0.1,0,0,0.125
7.345,5,0.1,0,0,0.125
7.355,5,0.1,0,0,0.125
7.365,5,0.1,0,0,0.125
7.375,5,0.1,0,0,0.125
7.385,5,0.1,0,0,0.125
7.395,5,0.1,0,0,0.125
7.405,5,0.1,0,0,0.125
7.415,5,0.1,0,0,0.125
7.425,5,0.1,0,0,0.125
7.435,5,0.1,0,0,0.125
7.445,5,0.1,0,0,0.125
7.455,5,0.1,0,0,0.125
7.465,5,0.1,0,0,0.125
7.475,5,0.1,0,0,0.125
7.485,5,0.1,0,0,0.125
7.495,5,0.1,0,0,0.125
7.505,5,0.1,0,0,0.125
7.515,5,0.1,0,0,0.125
7.525,5,0.1,0,0,0.125
7.535,5,0.1,0,0,0.125
7.545,5,0.1,0,0,0.125
7.555,5,0.1,0,0,0.125
7.565,5,0.1,0,0,0.125
7.575,5,0.1,0,0,0.125
7.585,5,0.1,0,0,0.125
7.595,5,0.1,0,0,0.125
7.605,5,0.1,0,0,0.125
7.615,5,0.1,0,0,0.125
7.625,5,0.1,0,0,0.125
7.635,5,0.1,0,0,0.125
7.645,5,0.1,0,0,0.125
7.655,5,0.1,0,0,0.125
7.665,5,0.1,0,0,0.125
7.675,5,0.1,0,0,0.125
7.685,5,0.1,0,0,0.125
7.695,5,0.1,0,0,0.125
7.705,5,0.1,0,0,0.125
7.715,5,0.1,0,0,0.125
7.725,5,0.1,0,0,0.125
7.735,5,0.1,0,0,0.125
7.745,5,0.1,0,0,0.125
7.755,5,0.1,0,0,0.125
7.765,5,0.1,0,0,0.125
7.775,5,0.1,0,0,0.125
7.785,5,0.1,0,0,0.125
7.795,5,0.1,0,0,0.125
7.805,5,0.1,0,0,0.125
7.815,5,0.1,0,0,0.125
7.825,5,0.1,0,0,0.125
7.835,5,0.1,0,0,0.125
7.845,5,0.1,0,0,0.125
7.855,5,0.1,0,0,0.125
7.865,5,0.1,0,0,0.125
7.875,5,0.1,0,0,0.125
7.885,5,0.1,0,0,0.125
7.895,5,0.1,0,0,0.125
7.905,5,0.1,0,0,0.125
7.915,5,0.1,0,0,0.125
7.925,5,0.1,0,0,0.125
7.935,5,0.1,0,0,0.125
7.945,5,0.1,0,0,0.125
7.955,5,0.1,0,0,0.125
7.965,5,0.1,0,0,0.125
7.975,5,0.1,0,0,0.125
7.985,5,0.1,0,0,0.125
7.995,5,0.1,0,0,0.125
8.005,5,0.1,0,0,0.125
8.015,5,0.1,0,0,0.125
8.025,5,0.1,0,0,0.125
8.035,5,0.1,0,0,0.125
8.045,5,0.1,0,0,0.125
8.055,5,0.1,0,0,0.125
8.065,5,0.1,0,0,0.125
8.075,5,0.1,0,0,0.125
8.085,5,0.1,0,0,0.125
8.095,5,0.1,0,0,0.125
8.105,5,0.1,0,0,0.125
8.115,5,0.1,0,0,0.125
8.125,5,0.1,0,0,0.125
8.135,5,0.1,0,0,0.125
8.145,5,0.1,0,0,0.125
8.155,5,0.1,0,0,0.125
8.165,5,0.1,0,0,0.125
8.175,5,0.1,0,0,0.125
8.185,5,0.1,0,0,0.125
8.195,5,0.1,0,0,0.125
8.205,5,0.1,0,0,0.125
8.215,5,0.1,0,0,0.125
8.225,5,0.1,0,0,0.125
8.235,5,0.1,0,0,0.125
8.245,5,0.1,0,0,0.125
8.255,5,0.1,0,0,0.125
8.265,5,0.1,0,0,0.125
8.275,5,0.1,0,0,0.125
8.285,5,0.1,0,0,0.125
8.295,5,0.1,0,0,0.125
8.305,5,0.1,0,0,0.125
8.315,5,0.1,0,0,0.125
8.325,5,0.1,0,0,0.125
8.335,5,0.1,0,0,0.125
8.345,5,0.1,0,0,0.125
8.355,5,0.1,0,0,0.125
8.365,5,0.1,0,0,0.125
8.375,5,0.1,0,0,0.125
8.385,5,0.1,0,0,0.125
8.395,5,0.1,0,0,0.125
8.405,5,0.1,0,0,0.125
8.415,5,0.1,0,0,0.125
8.425,5,0.1,0,0,0.125
8.435,5,0.1,0,0,0.125
8.445,5,0.1,0,0,0.125
8.455,5,0.1,0,0,0.125
8.465,5,0.1,0,0,0.125
8.475,5,0.1,0,0,0.125
8.485,5,0.1,0,0,0.125
8.495,5,0.1,0,0,0.125
8.505,5,0.1,0,0,0.125
8.515,5,0.1,0,0,0.125
8.525,5,0.1,0,0,0.125
8.535,5,0.1,0,0,0.125
8.545,5,0.1,0,0,0.125
8.555,5,0.1,0,0,0.125
8.565,5,0.1,0,0,0.125
8.575,5,0.1,0,0,0.125
8.585,5,0.1,0,0,0.125
8.595,5,0.1,0,0,0.125
8.605,5,0.1,0,0,0.125
8.615,5,0.1,0,0,0.125
8.625,5,0.1,0,0,0.125
8.635,5,0.1,0,0,0.125
8.645,5,0.1,0,0,0.125
8.655,5,0.1,0,0,0.125
8.665,5,0.1,0,0,0.125
8.675,5,0.1,0,0,0.125
8.685,5,0.1,0,0,0.125
8.695,5,0.1,0,0,0.125
8.705,5,0.1,0,0,0.125
8.715,5,0.1,0,0,0.125
8.725,5,0.1,0,0,0.125
8.735,5,0.1,0,0,0.125
8.745,5,0.1,0,0,0.125
8.755,5,0.1,0,0,0.125
8.765,5,0.1,0,0,0.125
8.775,5,0.1,0,0,0.125
8.785,5,0.1,0,0,0.125
8.795,5,0.1,0,0,0.125
8.805,5,0.1,0,0,0.125
8.815,5,0.1,0,0,0.125
8.825,5,0.1,0,0,0.125
8.835,5,0.1,0,0,0.125
8.845,5,0.1,0,0,0.125
8.855,5,0.1,0,0,0.125
8.865,5,0.1,0,0,0.125
8.875,5,0.1,0,0,0.125
